Entity,Code,Year,"Hospital beds (per 1,000 people)"
Afghanistan,AFG,1960,0.170627
Afghanistan,AFG,1970,0.199
Afghanistan,AFG,1981,0.2756
Afghanistan,AFG,1987,0.3091
Afghanistan,AFG,1990,0.2498
Afghanistan,AFG,2011,0.45
Afghanistan,AFG,2012,0.46
Afghanistan,AFG,2013,0.46
Afghanistan,AFG,2014,0.46
Afghanistan,AFG,2015,0.44
Afghanistan,AFG,2016,0.45
Afghanistan,AFG,2017,0.42
Afghanistan,AFG,2018,0.4
Afghanistan,AFG,2019,0.38
Afghanistan,AFG,2020,0.33
Afghanistan,AFG,2021,0.36
Afghanistan,AFG,2022,0.36
Afghanistan,AFG,2023,0.35
Albania,ALB,1960,5.102676
Albania,ALB,1980,4.2717
Albania,ALB,1981,4.1871
Albania,ALB,1982,4.1607
Albania,ALB,1983,4.0862
Albania,ALB,1984,4.139
Albania,ALB,1985,4.1388
Albania,ALB,1986,4.0697
Albania,ALB,1987,3.97
Albania,ALB,1988,3.9355
Albania,ALB,1989,4.1321
Albania,ALB,1990,4.0249
Albania,ALB,1991,3.9987
Albania,ALB,1992,4.0134
Albania,ALB,1993,3.8314
Albania,ALB,1994,3.0171
Albania,ALB,1995,3.19
Albania,ALB,1996,3.14
Albania,ALB,1997,3.05
Albania,ALB,1998,3.05
Albania,ALB,1999,3.03
Albania,ALB,2000,3.21
Albania,ALB,2001,3.17
Albania,ALB,2002,3.09
Albania,ALB,2003,3.05
Albania,ALB,2004,3.04
Albania,ALB,2005,3.02
Albania,ALB,2006,3.06
Albania,ALB,2007,3.04
Albania,ALB,2008,3.04
Albania,ALB,2009,2.97
Albania,ALB,2010,2.97
Albania,ALB,2011,2.88
Albania,ALB,2012,2.87
Albania,ALB,2013,2.88
Albania,ALB,2014,2.86
Albania,ALB,2015,2.84
Albania,ALB,2016,2.82
Albania,ALB,2017,2.82
Albania,ALB,2018,2.83
Albania,ALB,2019,2.84
Albania,ALB,2020,2.9
Algeria,DZA,1960,3.1874075
Algeria,DZA,1970,2.8425
Algeria,DZA,1986,2.4884
Algeria,DZA,1988,2.629
Algeria,DZA,1989,2.5644
Algeria,DZA,1990,2.4993
Algeria,DZA,1994,2.1032
Algeria,DZA,1998,2.1
Algeria,DZA,2000,1.77
Algeria,DZA,2001,1.75
Algeria,DZA,2002,1.74
Algeria,DZA,2003,1.77
Algeria,DZA,2004,1.81
Algeria,DZA,2006,1.71
Algeria,DZA,2008,1.74
Algeria,DZA,2009,1.74
Algeria,DZA,2010,1.71
Algeria,DZA,2011,1.68
Algeria,DZA,2012,1.66
Algeria,DZA,2013,1.65
Algeria,DZA,2014,1.64
Algeria,DZA,2015,1.62
Algeria,DZA,2016,1.6
Algeria,DZA,2017,1.61
Andorra,AND,1996,3.18
Andorra,AND,1997,3
Andorra,AND,1998,3.09
Andorra,AND,1999,3.2
Andorra,AND,2000,3.21
Andorra,AND,2001,2.6
Andorra,AND,2002,3.68
Andorra,AND,2003,3.35
Andorra,AND,2004,2.77
Andorra,AND,2005,2.66
Andorra,AND,2006,2.59
Andorra,AND,2007,2.63
Andorra,AND,2008,2.56
Angola,AGO,1960,2.0614617
Angola,AGO,1970,2.721
Angola,AGO,1990,1.2913
Angola,AGO,2019,0.75
Antigua and Barbuda,ATG,1960,7.706422
Antigua and Barbuda,ATG,1970,6.53
Antigua and Barbuda,ATG,1990,6.6
Antigua and Barbuda,ATG,1993,6.1048
Antigua and Barbuda,ATG,1996,3.88
Antigua and Barbuda,ATG,2011,2.14
Antigua and Barbuda,ATG,2013,4
Antigua and Barbuda,ATG,2014,3.95
Antigua and Barbuda,ATG,2015,4.04
Antigua and Barbuda,ATG,2016,3.38
Antigua and Barbuda,ATG,2017,3.26
Antigua and Barbuda,ATG,2020,3.32
Antigua and Barbuda,ATG,2021,3.16
Antigua and Barbuda,ATG,2022,3.44
Antigua and Barbuda,ATG,2023,3.42
Argentina,ARG,1960,6.3522506
Argentina,ARG,1970,5.5858
Argentina,ARG,1990,4.5943
Argentina,ARG,1993,4.6
Argentina,ARG,1996,3.29
Argentina,ARG,2011,4.38
Argentina,ARG,2012,4.58
Argentina,ARG,2013,4.77
Argentina,ARG,2014,4.84
Argentina,ARG,2015,4.95
Argentina,ARG,2016,4.94
Argentina,ARG,2017,4.99
Argentina,ARG,2018,3.69
Argentina,ARG,2019,3.69
Argentina,ARG,2020,3.19
Argentina,ARG,2021,3.34
Argentina,ARG,2022,3.36
Armenia,ARM,1980,8.3954
Armenia,ARM,1981,8.5784
Armenia,ARM,1982,8.6828
Armenia,ARM,1983,8.5481
Armenia,ARM,1984,8.6601
Armenia,ARM,1985,8.6992
Armenia,ARM,1986,9.0242
Armenia,ARM,1987,8.9966
Armenia,ARM,1988,9.1904
Armenia,ARM,1989,9.0358
Armenia,ARM,1990,9.0948
Armenia,ARM,1991,8.5293
Armenia,ARM,1992,8.3677
Armenia,ARM,1993,8.2147
Armenia,ARM,1994,7.766
Armenia,ARM,1995,7.64
Armenia,ARM,1996,7.13
Armenia,ARM,1997,6.75
Armenia,ARM,1998,6.66
Armenia,ARM,1999,6.2
Armenia,ARM,2000,6.65
Armenia,ARM,2001,5.24
Armenia,ARM,2002,4.57
Armenia,ARM,2003,4.68
Armenia,ARM,2004,4.72
Armenia,ARM,2005,4.77
Armenia,ARM,2006,4.77
Armenia,ARM,2007,4.41
Armenia,ARM,2008,4.18
Armenia,ARM,2009,4.1
Armenia,ARM,2010,4.15
Armenia,ARM,2011,4.19
Armenia,ARM,2012,4.19
Armenia,ARM,2013,4.2
Armenia,ARM,2014,4.28
Armenia,ARM,2015,4.29
Armenia,ARM,2016,4.28
Armenia,ARM,2017,4.27
Armenia,ARM,2018,4.18
Armenia,ARM,2019,4.06
Armenia,ARM,2020,4.45
Armenia,ARM,2021,4.43
Armenia,ARM,2022,4.2
Armenia,ARM,2023,4.24
Australia,AUS,1960,11.2
Australia,AUS,1961,11.3
Australia,AUS,1962,11.4
Australia,AUS,1963,11.7
Australia,AUS,1964,11.8
Australia,AUS,1965,11.9
Australia,AUS,1966,11.8
Australia,AUS,1967,11.8
Australia,AUS,1968,11.8
Australia,AUS,1969,11.7
Australia,AUS,1970,11.7
Australia,AUS,1971,11.6
Australia,AUS,1972,11.8
Australia,AUS,1973,11.8
Australia,AUS,1974,12
Australia,AUS,1975,11.9
Australia,AUS,1976,11.9
Australia,AUS,1977,12.1
Australia,AUS,1978,12.1
Australia,AUS,1979,12.2
Australia,AUS,1980,12.3
Australia,AUS,1981,12.2
Australia,AUS,1982,12.1
Australia,AUS,1983,11.9
Australia,AUS,1984,11.7
Australia,AUS,1985,10.9
Australia,AUS,1987,10.5
Australia,AUS,1989,9.8
Australia,AUS,1991,9.2
Australia,AUS,1992,8.9
Australia,AUS,1993,8.9
Australia,AUS,1994,8.7
Australia,AUS,1995,8.7
Australia,AUS,1996,8.5
Australia,AUS,1997,8.3
Australia,AUS,1998,8.2
Australia,AUS,1999,7.9
Australia,AUS,2000,4.02
Australia,AUS,2001,3.94
Australia,AUS,2002,3.91
Australia,AUS,2003,3.95
Australia,AUS,2004,3.97
Australia,AUS,2005,3.88
Australia,AUS,2006,3.9
Australia,AUS,2008,3.8
Australia,AUS,2009,3.76
Australia,AUS,2010,3.76
Australia,AUS,2011,3.76
Australia,AUS,2012,3.73
Australia,AUS,2013,3.72
Australia,AUS,2014,3.77
Australia,AUS,2015,3.79
Australia,AUS,2016,3.82
Austria,AUT,1960,10.8
Austria,AUT,1970,10.8
Austria,AUT,1980,11.2
Austria,AUT,1985,10.9
Austria,AUT,1986,10.8
Austria,AUT,1987,10.7
Austria,AUT,1988,10.6
Austria,AUT,1989,10.4
Austria,AUT,1990,10.2
Austria,AUT,1991,9.9
Austria,AUT,1992,9.7
Austria,AUT,1993,9.4
Austria,AUT,1994,9.5
Austria,AUT,1995,9.4
Austria,AUT,1996,9.3
Austria,AUT,1997,9.2
Austria,AUT,1998,9
Austria,AUT,1999,8.9
Austria,AUT,2000,7.95
Austria,AUT,2001,7.85
Austria,AUT,2002,7.81
Austria,AUT,2003,7.73
Austria,AUT,2004,7.73
Austria,AUT,2005,7.69
Austria,AUT,2006,7.66
Austria,AUT,2007,7.75
Austria,AUT,2008,7.69
Austria,AUT,2009,7.68
Austria,AUT,2010,7.65
Austria,AUT,2011,7.67
Austria,AUT,2012,7.67
Austria,AUT,2013,7.64
Austria,AUT,2014,7.58
Austria,AUT,2015,7.54
Austria,AUT,2016,7.42
Austria,AUT,2017,7.37
Austria,AUT,2018,7.27
Austria,AUT,2019,7.19
Austria,AUT,2020,7.05
